"genus","family"
"Caryocar","Caryocaraceae"
"Caryopteris","Verbenaceae"
"Caryota","Arecaceae"
"Casasia","Rubiaceae"
"Casearia","Flacourtiaceae"
"Casimiroa","Rutaceae"
"Cassia","Fabaceae"
"Cassine","Celastraceae"
"Cassiope","Ericaceae"
"Cassipourea","Rhizophoraceae"
"Cassytha","Lauraceae"
"Castalis","Asteraceae"
"Castanea","Fagaceae"
"Castanopsis","Fagaceae"
"Castela","Simaroubaceae"
"Castellia","Poaceae"
"Castilla","Moraceae"
"Castilleja","Scrophulariaceae"
"Casuarina","Casuarinaceae"
"Catabrosa","Poaceae"
"Catalpa","Bignoniaceae"
"Catananche","Asteraceae"
"Catapodium","Poaceae"
"Catapyrenium","Verrucariaceae"
"Catasetum","Orchidaceae"
"Catesbaea","Rubiaceae"
"Catha","Celastraceae"
"Catharanthus","Apocynaceae"
"Cathestecum","Poaceae"
"Catillaria","Catillariaceae"
"Catinaria","Bacidiaceae"
"Catolechia","Rhizocarpaceae"
"Catopsis","Bromeliaceae"
"Catoscopium","Catoscopiaceae"
"Cattleya","Orchidaceae"
"Caucalis","Apiaceae"
"Caudalejeunea","Lejeuneaceae"
"Caulanthus","Brassicaceae"
"Caularthron","Orchidaceae"
"Caulerpa","Caulerpaceae"
"Caulophyllum","Berberidaceae"
"Caulostramina","Brassicaceae"
"Cavernularia","Parmeliaceae"
"Cayaponia","Cucurbitaceae"
"Cayratia","Vitaceae"
"Ceanothus","Rhamnaceae"
"Cecidonia","Lecideaceae"
"Cecropia","Cecropiaceae"
"Cedrela","Meliaceae"
"Cedronella","Lamiaceae"
"Cedrus","Pinaceae"
"Ceiba","Bombacaceae"
"Celastrus","Celastraceae"
"Celmisia","Asteraceae"
"Celosia","Amaranthaceae"
"Celothelium","Uncertain Ascomycota Family"
"Celtica","Poaceae"
"Celtis","Ulmaceae"
"Cenchrus","Poaceae"
"Centaurea","Asteraceae"
"Centaurium","Gentianaceae"
"Centella","Apiaceae"
"Centipeda","Asteraceae"
"Centotheca","Poaceae"
"Centranthus","Valerianaceae"
"Centratherum","Asteraceae"
"Centromadia","Asteraceae"
"Centropodia","Poaceae"
"Centrosema","Fabaceae"
"Centrostegia","Polygonaceae"
"Cephaelis","Rubiaceae"
"Cephalanthera","Orchidaceae"
"Cephalanthus","Rubiaceae"
"Cephalaria","Dipsacaceae"
"Cephalocereus","Cactaceae"
"Cephalophysis","Teloschistaceae"
"Cephalotaxus","Cephalotaxaceae"
"Cephalozia","Cephaloziaceae"
"Cephaloziella","Cephaloziellaceae"
"Cerastium","Caryophyllaceae"
"Ceratiola","Empetraceae"
"Ceratocephala","Ranunculaceae"
"Ceratodon","Ditrichaceae"
"Ceratolejeunea","Lejeuneaceae"
"Ceratonia","Fabaceae"
"Ceratophyllum","Ceratophyllaceae"
"Ceratopteris","Parkeriaceae"
"Ceratostigma","Plumbaginaceae"
"Ceratotheca","Pedaliaceae"
"Cerbera","Apocynaceae"
"Cercidiphyllum","Cercidiphyllaceae"
"Cercidospora","Uncertain Ascomycota Family"
"Cercis","Fabaceae"
"Cercocarpus","Rosaceae"
"Cereus","Cactaceae"
"Cerinthe","Boraginaceae"
"Ceriops","Rhizophoraceae"
"Ceropegia","Asclepiadaceae"
"Ceroxylon","Arecaceae"
"Cestrum","Solanaceae"
"Cetraria","Parmeliaceae"
"Cetrariella","Parmeliaceae"
"Cetrelia","Parmeliaceae"
"Cevallia","Loasaceae"
"Chaenactis","Asteraceae"
"Chaenomeles","Rosaceae"
"Chaenorhinum","Scrophulariaceae"
"Chaenotheca","Coniocybaceae"
"Chaenothecopsis","Mycocaliciaceae"
"Chaerophyllum","Apiaceae"
"Chaetadelpha","Asteraceae"
"Chaetopappa","Asteraceae"
"Chaiturus","Lamiaceae"
"Chamaebatia","Rosaceae"
"Chamaebatiaria","Rosaceae"
"Chamaechaenactis","Asteraceae"
"Chamaecrista","Fabaceae"
"Chamaecyparis","Cupressaceae"
"Chamaecytisus","Fabaceae"
"Chamaedaphne","Ericaceae"
"Chamaedorea","Arecaceae"
"Chamaelirium","Liliaceae"
"Chamaemelum","Asteraceae"
"Chamaerhodos","Rosaceae"
"Chamaerops","Arecaceae"
"Chamaesaracha","Solanaceae"
"Chamaesyce","Euphorbiaceae"
"Chamelaucium","Myrtaceae"
"Chamerion","Onagraceae"
"Chamissoa","Amaranthaceae"
"Chandonanthus","Jungermanniaceae"
"Chapmannia","Fabaceae"
"Chaptalia","Asteraceae"
"Charpentiera","Amaranthaceae"
"Chasmanthe","Iridaceae"
"Chasmanthium","Poaceae"
"Cheilanthes","Pteridaceae"
"Cheilolejeunea","Lejeuneaceae"
"Cheiridopsis","Aizoaceae"
"Cheirodendron","Araliaceae"
"Cheiroglossa","Ophioglossaceae"
"Chelidonium","Papaveraceae"
"Chelone","Scrophulariaceae"
"Chenopodium","Chenopodiaceae"
"Chilopsis","Bignoniaceae"
"Chiloscyphus","Geocalycaceae"
"Chimaphila","Pyrolaceae"
"Chiococca","Rubiaceae"
"Chiodecton","Opegraphaceae"
"Chionanthus","Oleaceae"
"Chione","Rubiaceae"
"Chionodoxa","Liliaceae"
"Chionophila","Scrophulariaceae"
"Chionosphaera","Chionosphaeraceae"
"Chiranthodendron","Sterculiaceae"
"Chloracantha","Asteraceae"
"Chloris","Poaceae"
"Chlorocrambe","Brassicaceae"
"Chlorogalum","Liliaceae"
"Chlorophora","Moraceae"
"Chlorophytum","Liliaceae"
"Choerospondias","Anacardiaceae"
"Choisya","Rutaceae"
"Chondrilla","Asteraceae"
"Chondrodendron","Menispermaceae"
"Chonecolea","Chonecoleaceae"
"Chorisia","Bombacaceae"
"Chorisiva","Asteraceae"
"Chorispora","Brassicaceae"
"Chorizanthe","Polygonaceae"
"Christia","Fabaceae"
"Christolea","Brassicaceae"
"Chromatochlamys","Thelenellaceae"
"Chromolaena","Asteraceae"
"Chrozophora","Euphorbiaceae"
"Chrysactinia","Asteraceae"
"Chrysanthellum","Asteraceae"
"Chrysanthemum","Asteraceae"
"Chryso-hypnum","Hypnaceae"
"Chrysobalanus","Chrysobalanaceae"
"Chrysogonum","Asteraceae"
"Chrysolepis","Fagaceae"
"Chrysoma","Asteraceae"
"Chrysophyllum","Sapotaceae"
"Chrysopogon","Poaceae"
"Chrysopsis","Asteraceae"
"Chrysosplenium","Saxifragaceae"
"Chrysothamnus","Asteraceae"
"Chrysothemis","Gesneriaceae"
"Chrysothrix","Chrysotrichaceae"
"Chusquea","Poaceae"
"Cibotium","Dicksoniaceae"
"Cicendia","Gentianaceae"
"Cicer","Fabaceae"
"Cichorium","Asteraceae"
"Cicuta","Apiaceae"
"Cienfuegosia","Malvaceae"
"Cinchona","Rubiaceae"
"Cinclidium","Mniaceae"
"Cineraria","Asteraceae"
"Cinna","Poaceae"
"Cinnamomum","Lauraceae"
"Circaea","Onagraceae"
"Cirriphyllum","Brachytheciaceae"
"Cirsium","Asteraceae"
"Cissampelos","Menispermaceae"
"Cissus","Vitaceae"
"Cistanthe","Portulacaceae"
"Cistus","Cistaceae"
"Citharexylum","Verbenaceae"
"Citrullus","Cucurbitaceae"
"Citrus","Rutaceae"
"Cladidium","Lecanoraceae"
"Cladina","Cladoniaceae"
"Cladium","Cyperaceae"
"Cladonia","Cladoniaceae"
"Cladopodiella","Cephaloziaceae"
"Cladoraphis","Poaceae"
"Cladrastis","Fabaceae"
"Claopodium","Leskeaceae"
"Claoxylon","Euphorbiaceae"
"Clappertonia","Tiliaceae"
"Clappia","Asteraceae"
"Clarkia","Onagraceae"
"Clasmatodon","Fabroniaceae"
"Clathroporina","Trichotheliaceae"
"Clausena","Rutaceae"
"Clauzadea","Porpidiaceae"
"Clauzadeana","Lecanoraceae"
"Claytonia","Portulacaceae"
"Cleistachne","Poaceae"
"Cleistes","Orchidaceae"
"Cleistocactus","Cactaceae"
"Cleistogenes","Poaceae"
"Clematis","Ranunculaceae"
"Cleome","Capparaceae"
"Cleomella","Capparaceae"
"Clermontia","Campanulaceae"
"Clerodendrum","Verbenaceae"
"Clethra","Clethraceae"
"Cleyera","Theaceae"
"Clianthus","Fabaceae"
"Clibadium","Asteraceae"
"Clidemia","Melastomataceae"
"Cliftonia","Cyrillaceae"
"Climacium","Climaciaceae"
"Clinopodium","Lamiaceae"
"Clintonia","Liliaceae"
"Cliostomum","Bacidiaceae"
"Clitoria","Fabaceae"
"Clivia","Liliaceae"
"Clusia","Clusiaceae"
"Clypeococcum","Dacampiaceae"
"Cnemidaria","Cyatheaceae"
"Cneoridium","Rutaceae"
"Cnicus","Asteraceae"
"Cnidium","Apiaceae"
"Cnidoscolus","Euphorbiaceae"
"Coccinia","Cucurbitaceae"
"Coccocarpia","Coccocarpiaceae"
"Coccocypselum","Rubiaceae"
"Coccoloba","Polygonaceae"
"Coccothrinax","Arecaceae"
"Coccotrema","Coccotremataceae"
"Cocculus","Menispermaceae"
"Cochleanthes","Orchidaceae"
"Cochlearia","Brassicaceae"
"Cochlidium","Grammitidaceae"
"Cochlospermum","Bixaceae"
"Cocos","Arecaceae"
"Codariocalyx","Fabaceae"
"Codiaeum","Euphorbiaceae"
"Codonopsis","Campanulaceae"
"Coelorachis","Poaceae"
"Coenogonium","Gyalectaceae"
"Coffea","Rubiaceae"
"Coincya","Brassicaceae"
"Coix","Poaceae"
"Cojoba","Fabaceae"
"Cola","Sterculiaceae"
"Colchicum","Liliaceae"
"Coleanthus","Poaceae"
"Coleogyne","Rosaceae"
"Coleus","Lamiaceae"
"Collema","Collemataceae"
"Colletia","Rhamnaceae"
"Collinsia","Scrophulariaceae"
"Collinsonia","Lamiaceae"
"Collomia","Polemoniaceae"
"Colocasia","Araceae"
"Cologania","Fabaceae"
"Cololejeunea","Lejeuneaceae"
"Colophospermum","Fabaceae"
"Colubrina","Rhamnaceae"
"Columbia","Tiliaceae"
"Columbiadoria","Asteraceae"
"Columnea","Gesneriaceae"
"Colutea","Fabaceae"
"Comandra","Santalaceae"
"Comarostaphylis","Ericaceae"
"Comarum","Rosaceae"
"Combretum","Combretaceae"
"Commelina","Commelinaceae"
"Commiphora","Burseraceae"
"Comocladia","Anacardiaceae"
"Comparettia","Orchidaceae"
"Comptonia","Myricaceae"
"Conardia","Amblystegiaceae"
"Condalia","Rhamnaceae"
"Condylidium","Asteraceae"
"Congea","Verbenaceae"
"Conicosia","Aizoaceae"
"Conimitella","Saxifragaceae"
"Coniocybe","Coniocybaceae"
"Coniogramme","Pteridaceae"
"Conioselinum","Apiaceae"
"Conium","Apiaceae"
"Connarus","Connaraceae"
"Conocarpus","Combretaceae"
"Conocephalum","Conocephalaceae"
"Conoclinium","Asteraceae"
"Conopholis","Orobanchaceae"
"Conostegia","Melastomataceae"
"Conostomum","Bartramiaceae"
"Conotrema","Stictidaceae"
"Conradina","Lamiaceae"
"Conringia","Brassicaceae"
"Consolea","Cactaceae"
"Consolida","Ranunculaceae"
"Constancea","Asteraceae"
"Convallaria","Liliaceae"
"Convolvulus","Convolvulaceae"
"Conyza","Asteraceae"
"Cooperia","Liliaceae"
"Copaifera","Fabaceae"
"Copernicia","Arecaceae"
"Coprosma","Rubiaceae"
"Coptis","Ranunculaceae"
"Corallorhiza","Orchidaceae"
"Corchoropsis","Tiliaceae"
"Corchorus","Tiliaceae"
"Cordia","Boraginaceae"
"Cordyla","Fabaceae"
"Cordylanthus","Scrophulariaceae"
"Cordyline","Liliaceae"
"Corema","Empetraceae"
"Coreocarpus","Asteraceae"
"Coreopsis","Asteraceae"
"Corethrogyne","Asteraceae"
"Coriandrum","Apiaceae"
"Corispermum","Chenopodiaceae"
"Cornicularia","Parmeliaceae"
"Cornus","Cornaceae"
"Cornutia","Verbenaceae"
"Cornutispora","Uncertain Ascomycota Family"
"Coronilla","Fabaceae"
"Coronopus","Brassicaceae"
"Correa","Rutaceae"
"Corrigiola","Caryophyllaceae"
"Corryocactus","Cactaceae"
"Corsinia","Corsiniaceae"
"Cortaderia","Poaceae"
"Corticifraga","Uncertain Ascomycota Family"
"Corydalis","Fumariaceae"
"Corylopsis","Hamamelidaceae"
"Corylus","Betulaceae"
"Corymbia","Myrtaceae"
"Corymborkis","Orchidaceae"
"Corynephorus","Poaceae"
"Corynocarpus","Corynocarpaceae"
"Coryphantha","Cactaceae"
"Coscinodon","Grimmiaceae"
"Cosmos","Asteraceae"
"Costus","Costaceae"
"Cotinus","Anacardiaceae"
"Cotoneaster","Rosaceae"
"Cottea","Poaceae"
"Cotula","Asteraceae"
"Cotyledon","Crassulaceae"
"Couroupita","Lecythidaceae"
"Coursetia","Fabaceae"
"Crambe","Brassicaceae"
"Cranichis","Orchidaceae"
"Craniolaria","Pedaliaceae"
"Crassocephalum","Asteraceae"
"Crassula","Crassulaceae"
"Crataegus","Rosaceae"
"Craterostigma","Scrophulariaceae"
"Crateva","Capparaceae"
"Cratoneuron","Amblystegiaceae"
"Crepis","Asteraceae"
"Crescentia","Bignoniaceae"
"Cresponea","Opegraphaceae"
"Cressa","Convolvulaceae"
"Crinum","Liliaceae"
"Critonia","Asteraceae"
"Crocidium","Asteraceae"
"Crocosmia","Iridaceae"
"Crocus","Iridaceae"
"Crocynia","Crocyniaceae"
"Croomia","Stemonaceae"
"Croptilon","Asteraceae"
"Crossandra","Acanthaceae"
"Crossidium","Pottiaceae"
"Crossopetalum","Celastraceae"
"Crossosoma","Crossosomataceae"
"Crotalaria","Fabaceae"
"Croton","Euphorbiaceae"
"Crucianella","Rubiaceae"
"Cruciata","Rubiaceae"
"Crudia","Fabaceae"
"Crumia","Pottiaceae"
"Crupina","Asteraceae"
"Crusea","Rubiaceae"
"Cryphaea","Cryphaeaceae"
"Crypsis","Poaceae"
"Cryptantha","Boraginaceae"
"Cryptocarya","Lauraceae"
"Cryptocolea","Jungermanniaceae"
"Cryptocoryne","Araceae"
"Cryptogramma","Pteridaceae"
"Cryptolechia","Gyalectaceae"
"Cryptomeria","Cupressaceae"
"Cryptomitrium","Aytoniaceae"
"Cryptostegia","Asclepiadaceae"
"Cryptotaenia","Apiaceae"
"Cryptothallus","Aneuraceae"
"Cryptothecia","Arthoniaceae"
"Cryptothele","Lichinaceae"
"Ctenidium","Hypnaceae"
"Ctenitis","Dryopteridaceae"
"Ctenium","Poaceae"
"Ctenolepis","Cucurbitaceae"
"Cucumeropsis","Cucurbitaceae"
"Cucumis","Cucurbitaceae"
"Cucurbita","Cucurbitaceae"
"Cudrania","Moraceae"
"Cullen","Fabaceae"
"Cuminum","Apiaceae"
"Cunila","Lamiaceae"
"Cunninghamia","Cupressaceae"
"Cupania","Sapindaceae"
"Cupaniopsis","Sapindaceae"
"Cuphea","Lythraceae"
"Cupressus","Cupressaceae"
"Curculigo","Liliaceae"
"Curcuma","Zingiberaceae"
"Cuscuta","Cuscutaceae"
"Cusickiella","Brassicaceae"
"Cutandia","Poaceae"
"Cyamopsis","Fabaceae"
"Cyanea","Campanulaceae"
"Cyanopsis","Asteraceae"
"Cyanthillium","Asteraceae"
"Cyathea","Cyatheaceae"
"Cyathula","Amaranthaceae"
"Cybebe","Coniocybaceae"
"Cybianthus","Myrsinaceae"
"Cycas","Cycadaceae"
"Cyclachaena","Asteraceae"
"Cycladenia","Apocynaceae"
"Cyclamen","Primulaceae"
"Cyclanthera","Cucurbitaceae"
"Cyclodictyon","Callicostaceae"
"Cycloloma","Chenopodiaceae"
"Cyclopeltis","Dryopteridaceae"
"Cyclopogon","Orchidaceae"
"Cyclospermum","Apiaceae"
"Cycnium","Scrophulariaceae"
"Cydista","Bignoniaceae"
"Cydonia","Rosaceae"
"Cylindrocolea","Cephaloziellaceae"
"Cylindropuntia","Cactaceae"
"Cymbalaria","Scrophulariaceae"
"Cymbidium","Orchidaceae"
"Cymbocarpa","Burmanniaceae"
"Cymbopogon","Poaceae"
"Cymodocea","Cymodoceaceae"
"Cymophora","Asteraceae"
"Cymophyllus","Cyperaceae"
"Cymopterus","Apiaceae"
"Cynanchum","Asclepiadaceae"
"Cynara","Asteraceae"
"Cynodon","Poaceae"
"Cynodontium","Dicranaceae"
"Cynoglossum","Boraginaceae"
"Cynometra","Fabaceae"
"Cynosciadium","Apiaceae"
"Cynosurus","Poaceae"
"Cyperus","Cyperaceae"
"Cyphelium","Caliciaceae"
"Cypholophus","Urticaceae"
"Cyphomandra","Solanaceae"
"Cyphomeris","Nyctaginaceae"
"Cypripedium","Orchidaceae"
"Cypselea","Aizoaceae"
"Cyrilla","Cyrillaceae"
"Cyrtandra","Gesneriaceae"
"Cyrto-hypnum","Thuidiaceae"
"Cyrtococcum","Poaceae"
"Cyrtomium","Dryopteridaceae"
"Cyrtomnium","Mniaceae"
"Cyrtopodium","Orchidaceae"
"Cyrtosperma","Araceae"
"Cystobasidium","Platygloeaceae"
"Cystocoleus","Uncertain Ascomycota Family"
"Cystopteris","Dryopteridaceae"
"Cytisophyllum","Fabaceae"
"Cytisus","Fabaceae"
"Dacampia","Dacampiaceae"
"Dacrycarpus","Podocarpaceae"
"Dacrydium","Podocarpaceae"
"Dacryodes","Burseraceae"
"Dactylina","Parmeliaceae"
"Dactylis","Poaceae"
"Dactyloctenium","Poaceae"
"Dactylorhiza","Orchidaceae"
"Dactylospora","Dactylosporaceae"
"Dahlia","Asteraceae"
"Dalbergia","Fabaceae"
"Dalea","Fabaceae"
"Dalechampia","Euphorbiaceae"
"Dalibarda","Rosaceae"
"Daltonia","Daltoniaceae"
"Damasonium","Alismataceae"
"Damnacanthus","Rubiaceae"
"Danaea","Marattiaceae"
"Daniellia","Fabaceae"
"Danthonia","Poaceae"
"Danthoniopsis","Poaceae"
"Daphne","Thymelaeaceae"
"Daphnopsis","Thymelaeaceae"
"Darlingtonia","Sarraceniaceae"
"Darmera","Saxifragaceae"
"Dasiphora","Rosaceae"
"Dasistoma","Scrophulariaceae"
"Dasylirion","Liliaceae"
"Dasynotus","Boraginaceae"
"Dasyochloa","Poaceae"
"Dasypyrum","Poaceae"
"Datisca","Datiscaceae"
"Datura","Solanaceae"
"Daucosma","Apiaceae"
"Daucus","Apiaceae"
"Davallia","Davalliaceae"
"Decaspermum","Myrtaceae"
"Decodon","Lythraceae"
"Decumaria","Hydrangeaceae"
"Dedeckera","Polygonaceae"
"Deeringia","Amaranthaceae"
"Deeringothamnus","Annonaceae"
"Degelia","Pannariaceae"
"Deinandra","Asteraceae"
"Deiregyne","Orchidaceae"
"Delairea","Asteraceae"
"Delissea","Campanulaceae"
"Delonix","Fabaceae"
"Delosperma","Aizoaceae"
"Delphinium","Ranunculaceae"
"Dendranthema","Asteraceae"
"Dendriscocaulon","Lobariaceae"
"Dendroalsia","Leucodontaceae"
"Dendrobazzania","Lepidoziaceae"
"Dendrobium","Orchidaceae"
"Dendrocalamus","Poaceae"
"Dendrocnide","Urticaceae"
"Dendrodochium","Uncertain Ascomycota Family"
"Dendrographa","Roccellaceae"
"Dendrolobium","Fabaceae"
"Dendromecon","Papaveraceae"
"Dendropanax","Araliaceae"
"Dendropemon","Loranthaceae"
"Dendrophthora","Loranthaceae"
"Dendrophylax","Orchidaceae"
"Dennstaedtia","Dennstaedtiaceae"
"Dentella","Rubiaceae"
"Deparia","Dryopteridaceae"
"Dermatocarpon","Verrucariaceae"
"Dermiscellum","Physciaceae"
"Derris","Fabaceae"
"Deschampsia","Poaceae"
"Descurainia","Brassicaceae"
"Desfontainia","Loganiaceae"
"Desmanthus","Fabaceae"
"Desmatodon","Pottiaceae"
"Desmodium","Fabaceae"
"Desmostachya","Poaceae"
"Deutzia","Hydrangeaceae"
"Dialium","Fabaceae"
"Diamorpha","Crassulaceae"
"Dianella","Liliaceae"
"Dianthus","Caryophyllaceae"
"Diapensia","Diapensiaceae"
"Diarrhena","Poaceae"
"Dibaeis","Baeomycetaceae"
"Dicentra","Fumariaceae"
"Dicerandra","Lamiaceae"
"Dichaea","Orchidaceae"
"Dichaetophora","Asteraceae"
"Dichanthelium","Poaceae"
"Dichanthium","Poaceae"
"Dichelachne","Poaceae"
"Dichelostemma","Liliaceae"
"Dichelyma","Fontinalaceae"
"Dichodontium","Dicranaceae"
"Dichondra","Convolvulaceae"
"Dichromanthus","Orchidaceae"
"Dichrostachys","Fabaceae"
"Dicksonia","Dicksoniaceae"
"Dicliptera","Acanthaceae"
"Dicoria","Asteraceae"
"Dicranella","Dicranaceae"
"Dicranocarpus","Asteraceae"
"Dicranodontium","Dicranaceae"
"Dicranopteris","Gleicheniaceae"
"Dicranoweisia","Dicranaceae"
"Dicranum","Dicranaceae"
"Dictamnus","Rutaceae"
"Dictyonema","Corticiaceae"
"Didiplis","Lythraceae"
"Didymodon","Pottiaceae"
"Didymoplexis","Orchidaceae"
"Diectomis","Poaceae"
"Dieffenbachia","Araceae"
"Diellia","Aspleniaceae"
"Diervilla","Caprifoliaceae"
"Dietes","Iridaceae"
"Digera","Amaranthaceae"
"Digitalis","Scrophulariaceae"
"Digitaria","Poaceae"
"Dillenia","Dilleniaceae"
"Dillwynia","Fabaceae"
"Dilomilis","Orchidaceae"
"Dimelaena","Physciaceae"
"Dimerella","Gyalectaceae"
"Dimeresia","Asteraceae"
"Dimeria","Poaceae"
"Dimocarpus","Sapindaceae"
"Dimorphocarpa","Brassicaceae"
"Dimorphotheca","Asteraceae"
"Dinebra","Poaceae"
"Dioclea","Fabaceae"
"Diodia","Rubiaceae"
"Dionaea","Droseraceae"
"Dioscorea","Dioscoreaceae"
"Dioscoreophyllum","Menispermaceae"
"Diospyros","Ebenaceae"
"Diphylleia","Berberidaceae"
"Diphysa","Fabaceae"
"Diphyscium","Buxbaumiaceae"
"Diplacus","Scrophulariaceae"
"Diplasiolejeunea","Lejeuneaceae"
"Diplazium","Dryopteridaceae"
"Diploicia","Physciaceae"
"Diplophyllum","Scapaniaceae"
"Diplopterygium","Gleicheniaceae"
"Diploschistes","Thelotremataceae"
"Diplotaxis","Brassicaceae"
"Diplotomma","Physciaceae"
"Dipogon","Fabaceae"
"Dipsacus","Dipsacaceae"
"Dipteryx","Fabaceae"
"Dirca","Thymelaeaceae"
"Dirina","Roccellaceae"
"Dirinaria","Physciaceae"
"Discelium","Disceliaceae"
"Dischidia","Asclepiadaceae"
"Discocalyx","Myrsinaceae"
"Disphyma","Aizoaceae"
"Dissanthelium","Poaceae"
"Dissochondrus","Poaceae"
"Dissotis","Melastomataceae"
"Distichium","Ditrichaceae"
"Distichlis","Poaceae"
"Distictis","Bignoniaceae"
"Distopyrenis","Pyrenulaceae"
"Dithyrea","Brassicaceae"
"Ditrichum","Ditrichaceae"
"Ditrysinia","Euphorbiaceae"
"Ditta","Euphorbiaceae"
"Dittrichia","Asteraceae"
"Dodecahema","Polygonaceae"
"Dodecatheon","Primulaceae"
"Dodonaea","Sapindaceae"
"Doellingeria","Asteraceae"
"Dolichandrone","Bignoniaceae"
"Dolichos","Fabaceae"
"Doliocarpus","Dilleniaceae"
"Dombeya","Sterculiaceae"
"Domingoa","Orchidaceae"
"Donax","Marantaceae"
"Donnellia","Sematophyllaceae"
"Donrichardsia","Amblystegiaceae"
"Doodia","Blechnaceae"
"Dopatrium","Scrophulariaceae"
"Dorema","Apiaceae"
"Doronicum","Asteraceae"
"Dorstenia","Moraceae"
"Dorycnium","Fabaceae"
"Doryopteris","Pteridaceae"
"Douglasia","Primulaceae"
"Douinia","Scapaniaceae"
"Dovyalis","Flacourtiaceae"
"Downingia","Campanulaceae"
"Doyerea","Cucurbitaceae"
"Draba","Brassicaceae"
"Dracaena","Agavaceae"
"Dracocephalum","Lamiaceae"
"Dracontium","Araceae"
"Dracontomelon","Anacardiaceae"
"Dracopis","Asteraceae"
"Dracunculus","Araceae"
"Draperia","Hydrophyllaceae"
"Drepanocladus","Amblystegiaceae"
"Drepanolejeunea","Lejeuneaceae"
"Drimys","Winteraceae"
"Drosanthemum","Aizoaceae"
"Drosera","Droseraceae"
"Drummondia","Orthotrichaceae"
"Dryas","Rosaceae"
"Drymaria","Caryophyllaceae"
"Drynaria","Polypodiaceae"
"Dryobalanops","Dipterocarpaceae"
"Dryopetalon","Brassicaceae"
"Dryopteris","Dryopteridaceae"
"Drypetes","Euphorbiaceae"
"Dryptodon","Grimmiaceae"
"Dubautia","Asteraceae"
"Duboisia","Solanaceae"
"Duchesnea","Rosaceae"
"Dudleya","Crassulaceae"
"Dulichium","Cyperaceae"
"Dumortiera","Marchantiaceae"
"Dupontia","Poaceae"
"Duranta","Verbenaceae"
"Durio","Bombacaceae"
"Dyckia","Bromeliaceae"
"Dyera","Apocynaceae"
"Dypsis","Arecaceae"
"Dyschoriste","Acanthaceae"
"Dysodiopsis","Asteraceae"
"Dysoxylum","Meliaceae"
"Dysphania","Chenopodiaceae"
"Dyssodia","Asteraceae"
"Eastwoodia","Asteraceae"
"Eatonella","Asteraceae"
"Ebenopsis","Fabaceae"
"Ebenus","Fabaceae"
"Ecballium","Cucurbitaceae"
"Eccremidium","Ditrichaceae"
"Eccremocactus","Cactaceae"
"Echeandia","Liliaceae"
"Echeveria","Crassulaceae"
"Echinacea","Asteraceae"
"Echinocactus","Cactaceae"
"Echinocereus","Cactaceae"
"Echinochloa","Poaceae"
"Echinocystis","Cucurbitaceae"
"Echinodorus","Alismataceae"
"Echinomastus","Cactaceae"
"Echinopepon","Cucurbitaceae"
"Echinoplaca","Gomphillaceae"
"Echinopogon","Poaceae"
"Echinops","Asteraceae"
"Echinopsis","Cactaceae"
"Echinothecium","Capnodiaceae"
"Echites","Apocynaceae"
"Echium","Boraginaceae"
"Eclipta","Asteraceae"
"Edgeworthia","Thymelaeaceae"
"Edithcolea","Asclepiadaceae"
"Edrudia","Lecanoraceae"
"Egeria","Hydrocharitaceae"
"Egletes","Asteraceae"
"Ehrendorferia","Fumariaceae"
"Ehretia","Boraginaceae"
"Ehrharta","Poaceae"
"Eichhornia","Pontederiaceae"
"Eiglera","Eigleraceae"
"Elaeagnus","Elaeagnaceae"
"Elaeis","Arecaceae"
"Elaeocarpus","Elaeocarpaceae"
"Elaphoglossum","Dryopteridaceae"
"Elatine","Elatinaceae"
"Elatostema","Urticaceae"
"Eleocharis","Cyperaceae"
"Elephantopus","Asteraceae"
"Elettaria","Zingiberaceae"
"Eleusine","Poaceae"
"Eleutheranthera","Asteraceae"
"Eleutherine","Iridaceae"
"Eleutherococcus","Araliaceae"
"Elionurus","Poaceae"
"Elleanthus","Orchidaceae"
"Elliottia","Ericaceae"
"Ellisia","Hydrophyllaceae"
"Elmera","Saxifragaceae"
"Elodea","Hydrocharitaceae"
"Elsholtzia","Lamiaceae"
"Eltroplectris","Orchidaceae"
"Elymus","Poaceae"
"Elytraria","Acanthaceae"
"Elytrigia","Poaceae"
"Embelia","Myrsinaceae"
"Embothrium","Proteaceae"
"Emex","Polygonaceae"
"Emilia","Asteraceae"
"Emmenanthe","Hydrophyllaceae"
"Emorya","Buddlejaceae"
"Empetrum","Empetraceae"
"Encalypta","Encalyptaceae"
"Encelia","Asteraceae"
"Enceliopsis","Asteraceae"
"Encephalartos","Zamiaceae"
"Enchylaena","Chenopodiaceae"
"Encyclia","Orchidaceae"
"Endiandra","Lauraceae"
"Endocarpon","Verrucariaceae"
"Endococcus","Uncertain Ascomycota Family"
"Endolepis","Chenopodiaceae"
"Enemion","Ranunculaceae"
"Engelmannia","Asteraceae"
"Enhalus","Hydrocharitaceae"
"Enicostema","Gentianaceae"
"Enkianthus","Ericaceae"
"Enneapogon","Poaceae"
"Ensete","Musaceae"
"Entada","Fabaceae"
"Entandrophragma","Meliaceae"
"Entelea","Tiliaceae"
"Enterographa","Opegraphaceae"
"Enterolobium","Fabaceae"
"Enteropogon","Poaceae"
"Enterosora","Grammitidaceae"
"Entodon","Entodontaceae"
"Entodontopsis","Stereophyllaceae"
"Entolasia","Poaceae"
